
timestamp,source_ip,destination_ip,protocol,sbytes,dbytes,duration
2026-01-01 10:00:00,192.168.1.10,10.0.0.5,TCP,500,1200,2
2026-01-01 10:01:00,192.168.1.11,10.0.0.5,TCP,450,1100,3
2026-01-01 10:02:00,192.168.1.12,10.0.0.6,UDP,300,800,1
2026-01-01 10:03:00,192.168.1.13,10.0.0.7,TCP,600,1300,2
2026-01-01 10:04:00,192.168.1.14,10.0.0.8,TCP,550,1250,2
2026-01-01 10:05:00,192.168.1.15,10.0.0.9,UDP,320,900,1
2026-01-01 10:06:00,192.168.1.16,10.0.0.10,TCP,700,1400,3
2026-01-01 10:07:00,192.168.1.17,10.0.0.11,TCP,480,1150,2
2026-01-01 10:08:00,192.168.1.18,10.0.0.12,TCP,520,1180,2
2026-01-01 10:09:00,192.168.1.19,10.0.0.13,UDP,310,870,1
2026-01-01 10:10:00,192.168.1.100,10.0.0.20,TCP,15000,50000,20
2026-01-01 10:11:00,192.168.1.21,10.0.0.14,TCP,530,1190,2
2026-01-01 10:12:00,192.168.1.22,10.0.0.15,TCP,510,1170,2
2026-01-01 10:13:00,192.168.1.23,10.0.0.16,UDP,290,820,1
2026-01-01 10:14:00,192.168.1.24,10.0.0.17,TCP,580,1290,3
